Original,Tokenized,Cleaned,Length,Structure
पुत्र,"['प', 'ु', 'त', '्', 'र']",पुत्र,5,CVCC
पुर,"['प', 'ु', 'र']",पुर,3,CVC
पुल,"['प', 'ु', 'ल']",पुल,3,CVC
पुष्ट,"['प', 'ु', 'ष', '्', 'ट']",पुष्ट,5,CVCC
पू,"['प', 'ू']",पू,2,CV
पूं,"['प', 'ू']",पू,2,CV
पूंछ,"['प', 'ू', 'छ']",पूछ,3,CVC
पूछ,"['प', 'ू', 'छ']",पूछ,3,CVC
पूज्य,"['प', 'ू', 'ज', '्', 'य']",पूज्य,5,CVCC
पूत,"['प', 'ू', 'त']",पूत,3,CVC
पूर्व,"['प', 'ू', 'र', '्', 'व']",पूर्व,5,CVCC
पूस,"['प', 'ू', 'स']",पूस,3,CVC
पृष्ठ,"['प', 'ृ', 'ष', '्', 'ठ']",पृष्ठ,5,CVCC
पे,"['प', 'े']",पे,2,CV
पेंक,"['प', 'े', 'क']",पेक,3,CVC
पेंड़,"['प', 'े', 'ड', '़']",पेड़,4,CVC
पेट,"['प', 'े', 'ट']",पेट,3,CVC
पेड,"['प', 'े', 'ड']",पेड,3,CVC
पेड़,"['प', 'े', 'ड', '़']",पेड़,4,CVC
पेन,"['प', 'े', 'न']",पेन,3,CVC
पेय,"['प', 'े', 'य']",पेय,3,CVC
पेल,"['प', 'े', 'ल']",पेल,3,CVC
पेश,"['प', 'े', 'श']",पेश,3,CVC
पेस्ट,"['प', 'े', 'स', '्', 'ट']",पेस्ट,5,CVCC
पैच,"['प', 'ै', 'च']",पैच,3,CVC
पैन,"['प', 'ै', 'न']",पैन,3,CVC
पैर,"['प', 'ै', 'र']",पैर,3,CVC
पॉल,"['प', 'ॉ', 'ल']",पॉल,3,CVC
पोंख,"['प', 'ो', 'ख']",पोख,3,CVC
पोंछ,"['प', 'ो', 'छ']",पोछ,3,CVC
पोत,"['प', 'ो', 'त']",पोत,3,CVC
पोल,"['प', 'ो', 'ल']",पोल,3,CVC
पोस,"['प', 'ो', 'स']",पोस,3,CVC
पोस्ट,"['प', 'ो', 'स', '्', 'ट']",पोस्ट,5,CVCC
पौं,"['प', 'ौ']",पौ,2,CV
पौंछ,"['प', 'ौ', 'छ']",पौछ,3,CVC
पौध,"['प', 'ौ', 'ध']",पौध,3,CVC
प्पी,"['प', '्', 'प', 'ी']",प्पी,4,CCV
प्याज,"['प', '्', 'य', 'ा', 'ज']",प्याज,5,CCVC
प्याज़,"['प', '्', 'य', 'ा', 'ज', '़']",प्याज़,6,CCVC
प्यार,"['प', '्', 'य', 'ा', 'र']",प्यार,5,CCVC
प्यास,"['प', '्', 'य', 'ा', 'स']",प्यास,5,CCVC
प्रान,"['प', '्', 'र', 'ा', 'न']",प्रान,5,CCVC
प्राप्त,"['प', '्', 'र', 'ा', 'प', '्', 'त']",प्राप्त,7,CCVCC
प्रेत,"['प', '्', 'र', 'े', 'त']",प्रेत,5,CCVC
प्रेम,"['प', '्', 'र', 'े', 'म']",प्रेम,5,CCVC
प्रौढ़,"['प', '्', 'र', 'ौ', 'ढ', '़']",प्रौढ़,6,CCVC
फँस,"['फ', 'स']",फस,2,CVC
फक,"['फ', 'क']",फक,2,CVC
फट,"['फ', 'ट']",फट,2,CVC
फड़,"['फ', 'ड', '़']",फड़,3,CVC
फन,"['फ', 'न']",फन,2,CVC
फर,"['फ', 'र']",फर,2,CVC
फर्क,"['फ', 'र', '्', 'क']",फर्क,4,CVCC
फर्र,"['फ', 'र', '्', 'र']",फर्र,4,CVCC
फर्श,"['फ', 'र', '्', 'श']",फर्श,4,CVCC
फल,"['फ', 'ल']",फल,2,CVC
फस,"['फ', 'स']",फस,2,CVC
फ़र,"['फ', '़', 'र']",फ़र,3,CVC
फ़र्क,"['फ', '़', 'र', '्', 'क']",फ़र्क,5,CVCC
फ़र्न,"['फ', '़', 'र', '्', 'न']",फ़र्न,5,CVCC
फ़र्श,"['फ', '़', 'र', '्', 'श']",फ़र्श,5,CVCC
फ़ास्ट,"['फ', '़', 'ा', 'स', '्', 'ट']",फ़ास्ट,6,CVCC
फ़िक्र,"['फ', '़', 'ि', 'क', '्', 'र']",फ़िक्र,6,CVCC
फ़िट,"['फ', '़', 'ि', 'ट']",फ़िट,4,CVC
फ़िर,"['फ', '़', 'ि', 'र']",फ़िर,4,CVC
फ़ूड,"['फ', '़', 'ू', 'ड']",फ़ूड,4,CVC
फ़ेंक,"['फ', '़', 'े', 'क']",फ़ेक,4,CVC
फाँस,"['फ', 'ा', 'स']",फास,3,CVC
फांद,"['फ', 'ा', 'द']",फाद,3,CVC
फाड़,"['फ', 'ा', 'ड', '़']",फाड़,4,CVC
फाल,"['फ', 'ा', 'ल']",फाल,3,CVC
फिक्र,"['फ', 'ि', 'क', '्', 'र']",फिक्र,5,CVCC
फिज़,"['फ', 'ि', 'ज', '़']",फिज़,4,CVC
फिर,"['फ', 'ि', 'र']",फिर,3,CVC
फुर,"['फ', 'ु', 'र']",फुर,3,CVC
फुर्ज,"['फ', 'ु', 'र', '्', 'ज']",फुर्ज,5,CVCC
फुर्र,"['फ', 'ु', 'र', '्', 'र']",फुर्र,5,CVCC
फुले,"['फ', 'ु', 'ल', 'े']",फुले,4,CVCV
फूंक,"['फ', 'ू', 'क']",फूक,3,CVC
फूल,"['फ', 'ू', 'ल']",फूल,3,CVC
फूस,"['फ', 'ू', 'स']",फूस,3,CVC
फेंक,"['फ', 'े', 'क']",फेक,3,CVC
फेंट,"['फ', 'े', 'ट']",फेट,3,CVC
फेन,"['फ', 'े', 'न']",फेन,3,CVC
फेर,"['फ', 'े', 'र']",फेर,3,CVC
फैक,"['फ', 'ै', 'क']",फैक,3,CVC
फैल,"['फ', 'ै', 'ल']",फैल,3,CVC
फोड़,"['फ', 'ो', 'ड', '़']",फोड़,4,CVC
बँध,"['ब', 'ध']",बध,2,CVC
बंट,"['ब', 'ट']",बट,2,CVC
बंद,"['ब', 'द']",बद,2,CVC
बंध,"['ब', 'ध']",बध,2,CVC
बक,"['ब', 'क']",बक,2,CVC
बच,"['ब', 'च']",बच,2,CVC
बचत,"['ब', 'च', 'त']",बचत,3,CVCVC
बज,"['ब', 'ज']",बज,2,CVC
बट,"['ब', 'ट']",बट,2,CVC
बढ़,"['ब', 'ढ', '़']",बढ़,3,CVC
बद,"['ब', 'द']",बद,2,CVC
बन,"['ब', 'न']",बन,2,CVC
बम,"['ब', 'म']",बम,2,CVC
बर,"['ब', 'र']",बर,2,CVC
बर्न्स,"['ब', 'र', '्', 'न', '्', 'स']",बर्न्स,6,CVCCC
बर्फ,"['ब', 'र', '्', 'फ']",बर्फ,4,CVCC
बर्फ़,"['ब', 'र', '्', 'फ', '़']",बर्फ़,5,CVCC
बर्र,"['ब', 'र', '्', 'र']",बर्र,4,CVCC
बल,"['ब', 'ल']",बल,2,CVC
बस,"['ब', 'स']",बस,2,CVC
बह,"['ब', 'ह']",बह,2,CVC
बा,"['ब', 'ा']",बा,2,CV
बाँस,"['ब', 'ा', 'स']",बास,3,CVC
बांग,"['ब', 'ा', 'ग']",बाग,3,CVC
बांट,"['ब', 'ा', 'ट']",बाट,3,CVC
बांध,"['ब', 'ा', 'ध']",बाध,3,CVC
बाक,"['ब', 'ा', 'क']",बाक,3,CVC
बाग,"['ब', 'ा', 'ग']",बाग,3,CVC
बाग़,"['ब', 'ा', 'ग', '़']",बाग़,4,CVC
बाघ,"['ब', 'ा', 'घ']",बाघ,3,CVC
बाज,"['ब', 'ा', 'ज']",बाज,3,CVC
बाज़,"['ब', 'ा', 'ज', '़']",बाज़,4,CVC
बाट,"['ब', 'ा', 'ट']",बाट,3,CVC
बाड़,"['ब', 'ा', 'ड', '़']",बाड़,4,CVC
बाढ़,"['ब', 'ा', 'ढ', '़']",बाढ़,4,CVC
बाद,"['ब', 'ा', 'द']",बाद,3,CVC
बाध्य,"['ब', 'ा', 'ध', '्', 'य']",बाध्य,5,CVCC
बाप,"['ब', 'ा', 'प']",बाप,3,CVC
बाम,"['ब', 'ा', 'म']",बाम,3,CVC
बाय,"['ब', 'ा', 'य']",बाय,3,CVC
बार,"['ब', 'ा', 'र']",बार,3,CVC
बार्स,"['ब', 'ा', 'र', '्', 'स']",बार्स,5,CVCC
बाल,"['ब', 'ा', 'ल']",बाल,3,CVC
बिंग,"['ब', 'ि', 'ग']",बिग,3,CVC
बिंध,"['ब', 'ि', 'ध']",बिध,3,CVC
बिक,"['ब', 'ि', 'क']",बिक,3,CVC
बिग,"['ब', 'ि', 'ग']",बिग,3,CVC
बिछ,"['ब', 'ि', 'छ']",बिछ,3,CVC
बिट्,"['ब', 'ि', 'ट', '्']",बिट्,4,CVC
बिट्टू,"['ब', 'ि', 'ट', '्', 'ट', 'ू']",बिट्टू,6,CVCCV
बिन,"['ब', 'ि', 'न']",बिन,3,CVC
बिल,"['ब', 'ि', 'ल']",बिल,3,CVC
बींध,"['ब', 'ी', 'ध']",बीध,3,CVC
बीच,"['ब', 'ी', 'च']",बीच,3,CVC
बीज,"['ब', 'ी', 'ज']",बीज,3,CVC
बीत,"['ब', 'ी', 'त']",बीत,3,CVC
बीन,"['ब', 'ी', 'न']",बीन,3,CVC
बीप,"['ब', 'ी', 'प']",बीप,3,CVC
बीम,"['ब', 'ी', 'म']",बीम,3,CVC
बीस,"['ब', 'ी', 'स']",बीस,3,CVC
बुक,"['ब', 'ु', 'क']",बुक,3,CVC
बुझ,"['ब', 'ु', 'झ']",बुझ,3,CVC
बुत,"['ब', 'ु', 'त']",बुत,3,CVC
बुध,"['ब', 'ु', 'ध']",बुध,3,CVC
बुन,"['ब', 'ु', 'न']",बुन,3,CVC
बूंद,"['ब', 'ू', 'द']",बूद,3,CVC
बूझ,"['ब', 'ू', 'झ']",बूझ,3,CVC
बूट,"['ब', 'ू', 'ट']",बूट,3,CVC
बेंच,"['ब', 'े', 'च']",बेच,3,CVC
बेंत,"['ब', 'े', 'त']",बेत,3,CVC
बेक,"['ब', 'े', 'क']",बेक,3,CVC
बेच,"['ब', 'े', 'च']",बेच,3,CVC
बेठ,"['ब', 'े', 'ठ']",बेठ,3,CVC
बेथ,"['ब', 'े', 'थ']",बेथ,3,CVC
बेध,"['ब', 'े', 'ध']",बेध,3,CVC
बेन,"['ब', 'े', 'न']",बेन,3,CVC
बेर,"['ब', 'े', 'र']",बेर,3,CVC
बेल,"['ब', 'े', 'ल']",बेल,3,CVC
बैंक,"['ब', 'ै', 'क']",बैक,3,CVC
बैंच,"['ब', 'ै', 'च']",बैच,3,CVC
बैंड,"['ब', 'ै', 'ड']",बैड,3,CVC
बैग,"['ब', 'ै', 'ग']",बैग,3,CVC
बैग्,"['ब', 'ै', 'ग', '्']",बैग्,4,CVC
बैज,"['ब', 'ै', 'ज']",बैज,3,CVC
बैट,"['ब', 'ै', 'ट']",बैट,3,CVC
बैर,"['ब', 'ै', 'र']",बैर,3,CVC
बैल,"['ब', 'ै', 'ल']",बैल,3,CVC
बैस्ट,"['ब', 'ै', 'स', '्', 'ट']",बैस्ट,5,CVCC
बॉप,"['ब', 'ॉ', 'प']",बॉप,3,CVC
बॉब,"['ब', 'ॉ', 'ब']",बॉब,3,CVC
बॉल,"['ब', 'ॉ', 'ल']",बॉल,3,CVC
बो,"['ब', 'ो']",बो,2,CV
बोझ,"['ब', 'ो', 'झ']",बोझ,3,CVC
बोध,"['ब', 'ो', 'ध']",बोध,3,CVC
बोल,"['ब', 'ो', 'ल']",बोल,3,CVC
बौद्ध,"['ब', 'ौ', 'द', '्', 'ध']",बौद्ध,5,CVCC
ब्याज,"['ब', '्', 'य', 'ा', 'ज']",ब्याज,5,CCVC
ब्यास,"['ब', '्', 'य', 'ा', 'स']",ब्यास,5,CCVC
ब्याह,"['ब', '्', 'य', 'ा', 'ह']",ब्याह,5,CCVC
ब्रज,"['ब', '्', 'र', 'ज']",ब्रज,4,CCVC
ब्रेक,"['ब', '्', 'र', 'े', 'क']",ब्रेक,5,CCVC
भ,['भ'],भ,1,CV
भंग,"['भ', 'ग']",भग,2,CVC
भक,"['भ', 'क']",भक,2,CVC
भक्त,"['भ', 'क', '्', 'त']",भक्त,4,CVCC
भक्ष्य,"['भ', 'क', '्', 'ष', '्', 'य']",भक्ष्य,6,CVCCC
भद्द,"['भ', 'द', '्', 'द']",भद्द,4,CVCC
भन,"['भ', 'न']",भन,2,CVC
भय,"['भ', 'य']",भय,2,CVC
भर,"['भ', 'र']",भर,2,CVC
भव्य,"['भ', 'व', '्', 'य']",भव्य,4,CVCC
भस्म,"['भ', 'स', '्', 'म']",भस्म,4,CVCC
भा,"['भ', 'ा']",भा,2,CV
भांप,"['भ', 'ा', 'प']",भाप,3,CVC
भाग,"['भ', 'ा', 'ग']",भाग,3,CVC
भाड़,"['भ', 'ा', 'ड', '़']",भाड़,4,CVC
भात,"['भ', 'ा', 'त']",भात,3,CVC
भान,"['भ', 'ा', 'न']",भान,3,CVC
भाप,"['भ', 'ा', 'प']",भाप,3,CVC
भार,"['भ', 'ा', 'र']",भार,3,CVC
भाल,"['भ', 'ा', 'ल']",भाल,3,CVC
भाव,"['भ', 'ा', 'व']",भाव,3,CVC
भाैंह,"['भ', 'ा', 'ै', 'ह']",भाैह,4,CVVC
भिड़,"['भ', 'ि', 'ड', '़']",भिड़,4,CVC
भी,"['भ', 'ी']",भी,2,CV
भींच,"['भ', 'ी', 'च']",भीच,3,CVC
भीख,"['भ', 'ी', 'ख']",भीख,3,CVC
भीग,"['भ', 'ी', 'ग']",भीग,3,CVC
भीड़,"['भ', 'ी', 'ड', '़']",भीड़,4,CVC
भीम,"['भ', 'ी', 'म']",भीम,3,CVC
भील,"['भ', 'ी', 'ल']",भील,3,CVC
भुन,"['भ', 'ु', 'न']",भुन,3,CVC
भूक,"['भ', 'ू', 'क']",भूक,3,CVC
भूख,"['भ', 'ू', 'ख']",भूख,3,CVC
भूत,"['भ', 'ू', 'त']",भूत,3,CVC
भून,"['भ', 'ू', 'न']",भून,3,CVC
भूप,"['भ', 'ू', 'प']",भूप,3,CVC
भूल,"['भ', 'ू', 'ल']",भूल,3,CVC
भेंट,"['भ', 'े', 'ट']",भेट,3,CVC
भेज,"['भ', 'े', 'ज']",भेज,3,CVC
भेड़,"['भ', 'े', 'ड', '़']",भेड़,4,CVC
भेद,"['भ', 'े', 'द']",भेद,3,CVC
भेल,"['भ', 'े', 'ल']",भेल,3,CVC
भेष,"['भ', 'े', 'ष']",भेष,3,CVC
भेस,"['भ', 'े', 'स']",भेस,3,CVC
भैं,"['भ', 'ै']",भै,2,CV
भैंस,"['भ', 'ै', 'स']",भैस,3,CVC
भैय,"['भ', 'ै', 'य']",भैय,3,CVC
भो,"['भ', 'ो']",भो,2,CV
भोंक,"['भ', 'ो', 'क']",भोक,3,CVC
भोग,"['भ', 'ो', 'ग']",भोग,3,CVC
भोज,"['भ', 'ो', 'ज']",भोज,3,CVC
भोर,"['भ', 'ो', 'र']",भोर,3,CVC
भौं,"['भ', 'ौ']",भौ,2,CV
भौंक,"['भ', 'ौ', 'क']",भौक,3,CVC
भौंह,"['भ', 'ौ', 'ह']",भौह,3,CVC
भौम,"['भ', 'ौ', 'म']",भौम,3,CVC
भ्रम,"['भ', '्', 'र', 'म']",भ्रम,4,CCVC
भ्रष्ट,"['भ', '्', 'र', 'ष', '्', 'ट']",भ्रष्ट,6,CCVCC
भ्रांत,"['भ', '्', 'र', 'ा', 'त']",भ्रात,5,CCVC
म,['म'],म,1,CV
मंच,"['म', 'च']",मच,2,CVC
मंड,"['म', 'ड']",मड,2,CVC
मंद,"['म', 'द']",मद,2,CVC
मंद्र,"['म', 'द', '्', 'र']",मद्र,4,CVCC
मंह,"['म', 'ह']",मह,2,CVC
मग,"['म', 'ग']",मग,2,CVC
मठ,"['म', 'ठ']",मठ,2,CVC
मड,"['म', 'ड']",मड,2,CVC
मत,"['म', 'त']",मत,2,CVC
मत्त,"['म', 'त', '्', 'त']",मत्त,4,CVCC
मत्स्य,"['म', 'त', '्', 'स', '्', 'य']",मत्स्य,6,CVCCC
मथ,"['म', 'थ']",मथ,2,CVC
मद,"['म', 'द']",मद,2,CVC
मद्र,"['म', 'द', '्', 'र']",मद्र,4,CVCC
मध्य,"['म', 'ध', '्', 'य']",मध्य,4,CVCC
मन,"['म', 'न']",मन,2,CVC
मम्म,"['म', 'म', '्', 'म']",मम्म,4,CVCC
मय,"['म', 'य']",मय,2,CVC
मर,"['म', 'र']",मर,2,CVC
मर्द,"['म', 'र', '्', 'द']",मर्द,4,CVCC
मर्म,"['म', 'र', '्', 'म']",मर्म,4,CVCC
मल,"['म', 'ल']",मल,2,CVC
मस,"['म', 'स']",मस,2,CVC
मस्ट,"['म', 'स', '्', 'ट']",मस्ट,4,CVCC
मस्त,"['म', 'स', '्', 'त']",मस्त,4,CVCC
मा,"['म', 'ा']",मा,2,CV
माँ,"['म', 'ा']",मा,2,CV
मां,"['म', 'ा']",मा,2,CV
मांग,"['म', 'ा', 'ग']",माग,3,CVC
मांज,"['म', 'ा', 'ज']",माज,3,CVC
मांड,"['म', 'ा', 'ड']",माड,3,CVC
मांड़,"['म', 'ा', 'ड', '़']",माड़,4,CVC
मांड्,"['म', 'ा', 'ड', '्']",माड्,4,CVC
मांद,"['म', 'ा', 'द']",माद,3,CVC
मांस,"['म', 'ा', 'स']",मास,3,CVC
माघ,"['म', 'ा', 'घ']",माघ,3,CVC
मान,"['म', 'ा', 'न']",मान,3,CVC
माप,"['म', 'ा', 'प']",माप,3,CVC
माफ,"['म', 'ा', 'फ']",माफ,3,CVC
माफ़,"['म', 'ा', 'फ', '़']",माफ़,4,CVC
मार,"['म', 'ा', 'र']",मार,3,CVC
मार्क,"['म', 'ा', 'र', '्', 'क']",मार्क,5,CVCC
मार्ग,"['म', 'ा', 'र', '्', 'ग']",मार्ग,5,CVCC
माल,"['म', 'ा', 'ल']",माल,3,CVC
मास,"['म', 'ा', 'स']",मास,3,CVC
माह,"['म', 'ा', 'ह']",माह,3,CVC
मिंग,"['म', 'ि', 'ग']",मिग,3,CVC
मिट,"['म', 'ि', 'ट']",मिट,3,CVC
मित्र,"['म', 'ि', 'त', '्', 'र']",मित्र,5,CVCC
मिर्च,"['म', 'ि', 'र', '्', 'च']",मिर्च,5,CVCC
मिल,"['म', 'ि', 'ल']",मिल,3,CVC
मिश्र,"['म', 'ि', 'श', '्', 'र']",मिश्र,5,CVCC
मिस,"['म', 'ि', 'स']",मिस,3,CVC
मिस्र,"['म', 'ि', 'स', '्', 'र']",मिस्र,5,CVCC
मी,"['म', 'ी']",मी,2,CV
मींच,"['म', 'ी', 'च']",मीच,3,CVC
मींस,"['म', 'ी', 'स']",मीस,3,CVC
मीच,"['म', 'ी', 'च']",मीच,3,CVC
मीत,"['म', 'ी', 'त']",मीत,3,CVC
मील,"['म', 'ी', 'ल']",मील,3,CVC
मुँह,"['म', 'ु', 'ह']",मुह,3,CVC
मुक्त,"['म', 'ु', 'क', '्', 'त']",मुक्त,5,CVCC
मुख,"['म', 'ु', 'ख']",मुख,3,CVC
मुग्ध,"['म', 'ु', 'ग', '्', 'ध']",मुग्ध,5,CVCC
मुझ,"['म', 'ु', 'झ']",मुझ,3,CVC
मुड,"['म', 'ु', 'ड']",मुड,3,CVC
मुड़,"['म', 'ु', 'ड', '़']",मुड़,4,CVC
मुफ़्त,"['म', 'ु', 'फ', '़', '्', 'त']",मुफ़्त,6,CVCC
मुफ्त,"['म', 'ु', 'फ', '्', 'त']",मुफ्त,5,CVCC
मुर्गा,"['म', 'ु', 'र', '्', 'ग', 'ा']",मुर्गा,6,CVCCV
मुहं,"['म', 'ु', 'ह']",मुह,3,CVC
मूं,"['म', 'ू']",मू,2,CV
मूंग,"['म', 'ू', 'ग']",मूग,3,CVC
मूंछ,"['म', 'ू', 'छ']",मूछ,3,CVC
मूंज,"['म', 'ू', 'ज']",मूज,3,CVC
मूंठ,"['म', 'ू', 'ठ']",मूठ,3,CVC
मूंद,"['म', 'ू', 'द']",मूद,3,CVC
मूंह,"['म', 'ू', 'ह']",मूह,3,CVC
मूछ,"['म', 'ू', 'छ']",मूछ,3,CVC
मूड,"['म', 'ू', 'ड']",मूड,3,CVC
मूड़,"['म', 'ू', 'ड', '़']",मूड़,4,CVC
मूर्ख,"['म', 'ू', 'र', '्', 'ख']",मूर्ख,5,CVCC
मूल,"['म', 'ू', 'ल']",मूल,3,CVC
मूल्य,"['म', 'ू', 'ल', '्', 'य']",मूल्य,5,CVCC
मूस,"['म', 'ू', 'स']",मूस,3,CVC
मृग,"['म', 'ृ', 'ग']",मृग,3,CVC
मृण,"['म', 'ृ', 'ण']",मृण,3,CVC
में,"['म', 'े']",मे,2,CV
मेंज़,"['म', 'े', 'ज', '़']",मेज़,4,CVC
मेघ,"['म', 'े', 'घ']",मेघ,3,CVC
मेज,"['म', 'े', 'ज']",मेज,3,CVC
मेज़,"['म', 'े', 'ज', '़']",मेज़,4,CVC
मेन,"['म', 'े', 'न']",मेन,3,CVC
मेल,"['म', 'े', 'ल']",मेल,3,CVC
मेस,"['म', 'े', 'स']",मेस,3,CVC
मेह,"['म', 'े', 'ह']",मेह,3,CVC
मे़ज,"['म', 'े', '़', 'ज']",मे़ज,4,CVVC
मै,"['म', 'ै']",मै,2,CV
मैं,"['म', 'ै']",मै,2,CV
मैच,"['म', 'ै', 'च']",मैच,3,CVC
मैन,"['म', 'ै', 'न']",मैन,3,CVC
मैल,"['म', 'ै', 'ल']",मैल,3,CVC
मॉं,"['म', 'ॉ']",मॉ,2,CV
मोज,"['म', 'ो', 'ज']",मोज,3,CVC
मोड़,"['म', 'ो', 'ड', '़']",मोड़,4,CVC
मोम,"['म', 'ो', 'म']",मोम,3,CVC
मोर,"['म', 'ो', 'र']",मोर,3,CVC
मोल,"['म', 'ो', 'ल']",मोल,3,CVC
मोह,"['म', 'ो', 'ह']",मोह,3,CVC
मौज,"['म', 'ौ', 'ज']",मौज,3,CVC
मौत,"['म', 'ौ', 'त']",मौत,3,CVC
मौन,"['म', 'ौ', 'न']",मौन,3,CVC
यंत्र,"['य', 'त', '्', 'र']",यत्र,4,CVCC
यक,"['य', 'क']",यक,2,CVC
यक्ष,"['य', 'क', '्', 'ष']",यक्ष,4,CVCC
यज्ञ,"['य', 'ज', '्', 'ञ']",यज्ञ,4,CVCC
यत्न,"['य', 'त', '्', 'न']",यत्न,4,CVCC
यश,"['य', 'श']",यश,2,CVC
यह,"['य', 'ह']",यह,2,CVC
या,"['य', 'ा']",या,2,CV
याक,"['य', 'ा', 'क']",याक,3,CVC
याद,"['य', 'ा', 'द']",याद,3,CVC
यान,"['य', 'ा', 'न']",यान,3,CVC
यार,"['य', 'ा', 'र']",यार,3,CVC
युग,"['य', 'ु', 'ग']",युग,3,CVC
युद्ध,"['य', 'ु', 'द', '्', 'ध']",युद्ध,5,CVCC
युल,"['य', 'ु', 'ल']",युल,3,CVC
यू,"['य', 'ू']",यू,2,CV
यूँ,"['य', 'ू']",यू,2,CV
यूथ,"['य', 'ू', 'थ']",यूथ,3,CVC
यूल,"['य', 'ू', 'ल']",यूल,3,CVC
ये,"['य', 'े']",ये,2,CV
यो,"['य', 'ो']",यो,2,CV
यों,"['य', 'ो']",यो,2,CV
रंग,"['र', 'ग']",रग,2,CVC
रक्त,"['र', 'क', '्', 'त']",रक्त,4,CVCC
रख,"['र', 'ख']",रख,2,CVC
रच,"['र', 'च']",रच,2,CVC
रट,"['र', 'ट']",रट,2,CVC
रण,"['र', 'ण']",रण,2,CVC
रत,"['र', 'त']",रत,2,CVC
रत्न,"['र', 'त', '्', 'न']",रत्न,4,CVCC
रथ,"['र', 'थ']",रथ,2,CVC
रमन,"['र', 'म', 'न']",रमन,3,CVCVC
रस,"['र', 'स']",रस,2,CVC
रह,"['र', 'ह']",रह,2,CVC
राख,"['र', 'ा', 'ख']",राख,3,CVC
राग,"['र', 'ा', 'ग']",राग,3,CVC
राज,"['र', 'ा', 'ज']",राज,3,CVC
राज़,"['र', 'ा', 'ज', '़']",राज़,4,CVC
राज्य,"['र', 'ा', 'ज', '्', 'य']",राज्य,5,CVCC
रात,"['र', 'ा', 'त']",रात,3,CVC
रान,"['र', 'ा', 'न']",रान,3,CVC
राम,"['र', 'ा', 'म']",राम,3,CVC
राय,"['र', 'ा', 'य']",राय,3,CVC
राव,"['र', 'ा', 'व']",राव,3,CVC
राष्ट्र,"['र', 'ा', 'ष', '्', 'ट', '्', 'र']",राष्ट्र,7,CVCCC
रास,"['र', 'ा', 'स']",रास,3,CVC
राह,"['र', 'ा', 'ह']",राह,3,CVC
रि,"['र', 'ि']",रि,2,CV
रिक्त,"['र', 'ि', 'क', '्', 'त']",रिक्त,5,CVCC
रिज,"['र', 'ि', 'ज']",रिज,3,CVC
रिस,"['र', 'ि', 'स']",रिस,3,CVC
री,"['र', 'ी']",री,2,CV
रीत,"['र', 'ी', 'त']",रीत,3,CVC
रील,"['र', 'ी', 'ल']",रील,3,CVC
रु,"['र', 'ु']",रु,2,CV
रुँध,"['र', 'ु', 'ध']",रुध,3,CVC
रुक,"['र', 'ु', 'क']",रुक,3,CVC
रुद्ध,"['र', 'ु', 'द', '्', 'ध']",रुद्ध,5,CVCC
रुप,"['र', 'ु', 'प']",रुप,3,CVC
रूक,"['र', 'ू', 'क']",रूक,3,CVC
रूठ,"['र', 'ू', 'ठ']",रूठ,3,CVC
रूप,"['र', 'ू', 'प']",रूप,3,CVC
रूम,"['र', 'ू', 'म']",रूम,3,CVC
रूस,"['र', 'ू', 'स']",रूस,3,CVC
रूह,"['र', 'ू', 'ह']",रूह,3,CVC
रे,"['र', 'े']",रे,2,CV
रेंग,"['र', 'े', 'ग']",रेग,3,CVC
रेख,"['र', 'े', 'ख']",रेख,3,CVC
रेत,"['र', 'े', 'त']",रेत,3,CVC
रेल,"['र', 'े', 'ल']",रेल,3,CVC
रो,"['र', 'ो']",रो,2,CV
रोक,"['र', 'ो', 'क']",रोक,3,CVC
रोज,"['र', 'ो', 'ज']",रोज,3,CVC
रोज़,"['र', 'ो', 'ज', '़']",रोज़,4,CVC
रोड,"['र', 'ो', 'ड']",रोड,3,CVC
रोन,"['र', 'ो', 'न']",रोन,3,CVC
रोप,"['र', 'ो', 'प']",रोप,3,CVC
रोम,"['र', 'ो', 'म']",रोम,3,CVC
रोश,"['र', 'ो', 'श']",रोश,3,CVC
रौंद,"['र', 'ौ', 'द']",रौद,3,CVC
रौब,"['र', 'ौ', 'ब']",रौब,3,CVC
ल,['ल'],ल,1,CV
लक्ष्य,"['ल', 'क', '्', 'ष', '्', 'य']",लक्ष्य,6,CVCCC
लग,"['ल', 'ग']",लग,2,CVC
लट,"['ल', 'ट']",लट,2,CVC
लड,"['ल', 'ड']",लड,2,CVC
लड़,"['ल', 'ड', '़']",लड़,3,CVC
लद,"['ल', 'द']",लद,2,CVC
लय,"['ल', 'य']",लय,2,CVC
ला,"['ल', 'ा']",ला,2,CV
लांघ,"['ल', 'ा', 'घ']",लाघ,3,CVC
लाख,"['ल', 'ा', 'ख']",लाख,3,CVC
लाग,"['ल', 'ा', 'ग']",लाग,3,CVC
लाड़,"['ल', 'ा', 'ड', '़']",लाड़,4,CVC
लात,"['ल', 'ा', 'त']",लात,3,CVC
लाद,"['ल', 'ा', 'द']",लाद,3,CVC
लाभ,"['ल', 'ा', 'भ']",लाभ,3,CVC
लार,"['ल', 'ा', 'र']",लार,3,CVC
लाल,"['ल', 'ा', 'ल']",लाल,3,CVC
लाश,"['ल', 'ा', 'श']",लाश,3,CVC
लिख,"['ल', 'ि', 'ख']",लिख,3,CVC
लिप,"['ल', 'ि', 'प']",लिप,3,CVC
लिस्ट,"['ल', 'ि', 'स', '्', 'ट']",लिस्ट,5,CVCC
